Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"POA by DWTD Dwelling Type"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

"Counting","POA","DWTD Dwelling Type","Count",
"Dwellings, Location on Census Night","2160, NSW","Total",11161
"Dwellings, Location on Census Night","2161, NSW","Occupied private dwellings",9038
"Dwellings, Location on Census Night","2161, NSW","Total",9038
"Dwellings, Location on Census Night","2162, NSW","Occupied private dwellings",5620
"Dwellings, Location on Census Night","2162, NSW","Total",5620
"Dwellings, Location on Census Night","2163, NSW","Occupied private dwellings",3039
"Dwellings, Location on Census Night","2163, NSW","Total",3039
"Dwellings, Location on Census Night","2164, NSW","Occupied private dwellings",5984
"Dwellings, Location on Census Night","2164, NSW","Total",5984
"Dwellings, Location on Census Night","2165, NSW","Occupied private dwellings",12497
"Dwellings, Location on Census Night","2165, NSW","Total",12497
"Dwellings, Location on Census Night","2166, NSW","Occupied private dwellings",15521
"Dwellings, Location on Census Night","2166, NSW","Total",15521
"Dwellings, Location on Census Night","2167, NSW","Occupied private dwellings",2483
"Dwellings, Location on Census Night","2167, NSW","Total",2483
"Dwellings, Location on Census Night","2168, NSW","Occupied private dwellings",12784
"Dwellings, Location on Census Night","2168, NSW","Total",12784
"Dwellings, Location on Census Night","2170, NSW","Occupied private dwellings",31562
"Dwellings, Location on Census Night","2170, NSW","Total",31562
"Dwellings, Location on Census Night","2171, NSW","Occupied private dwellings",6730
"Dwellings, Location on Census Night","2171, NSW","Total",6730
"Dwellings, Location on Census Night","2172, NSW","Occupied private dwellings",657
"Dwellings, Location on Census Night","2172, NSW","Total",657
"Dwellings, Location on Census Night","2173, NSW","Occupied private dwellings",4047
"Dwellings, Location on Census Night","2173, NSW","Total",4047
"Dwellings, Location on Census Night","2174, NSW","Occupied private dwellings",137
"Dwellings, Location on Census Night","2174, NSW","Total",137
"Dwellings, Location on Census Night","2175, NSW","Occupied private dwellings",576
"Dwellings, Location on Census Night","2175, NSW","Total",576
"Dwellings, Location on Census Night","2176, NSW","Occupied private dwellings",13339
"Dwellings, Location on Census Night","2176, NSW","Total",13339
"Dwellings, Location on Census Night","2177, NSW","Occupied private dwellings",4281
"Dwellings, Location on Census Night","2177, NSW","Total",4281
"Dwellings, Location on Census Night","2178, NSW","Occupied private dwellings",1412
"Dwellings, Location on Census Night","2178, NSW","Total",1412
"Dwellings, Location on Census Night","2179, NSW","Occupied private dwellings",1690
"Dwellings, Location on Census Night","2179, NSW","Total",1690
"Dwellings, Location on Census Night","2190, NSW","Occupied private dwellings",7428
"Dwellings, Location on Census Night","2190, NSW","Total",7428
"Dwellings, Location on Census Night","2191, NSW","Occupied private dwellings",2099
"Dwellings, Location on Census Night","2191, NSW","Total",2099
"Dwellings, Location on Census Night","2192, NSW","Occupied private dwellings",4429
"Dwellings, Location on Census Night","2192, NSW","Total",4429
"Dwellings, Location on Census Night","2193, NSW","Occupied private dwellings",5204
"Dwellings, Location on Census Night","2193, NSW","Total",5204
"Dwellings, Location on Census Night","2194, NSW","Occupied private dwellings",7493
"Dwellings, Location on Census Night","2194, NSW","Total",7493
"Dwellings, Location on Census Night","2195, NSW","Occupied private dwellings",8358
"Dwellings, Location on Census Night","2195, NSW","Total",8358
"Dwellings, Location on Census Night","2196, NSW","Occupied private dwellings",9381
"Dwellings, Location on Census Night","2196, NSW","Total",9381
"Dwellings, Location on Census Night","2197, NSW","Occupied private dwellings",2637
"Dwellings, Location on Census Night","2197, NSW","Total",2637
"Dwellings, Location on Census Night","2198, NSW","Occupied private dwellings",2712
"Dwellings, Location on Census Night","2198, NSW","Total",2712
"Dwellings, Location on Census Night","2199, NSW","Occupied private dwellings",5106
"Dwellings, Location on Census Night","2199, NSW","Total",5106
"Dwellings, Location on Census Night","2200, NSW","Occupied private dwellings",13101
"Dwellings, Location on Census Night","2200, NSW","Total",13101
"Dwellings, Location on Census Night","2203, NSW","Occupied private dwellings",5541
"Dwellings, Location on Census Night","2203, NSW","Total",5541
"Dwellings, Location on Census Night","2204, NSW","Occupied private dwellings",9717
"Dwellings, Location on Census Night","2204, NSW","Total",9717
"Dwellings, Location on Census Night","2205, NSW","Occupied private dwellings",4525
"Dwellings, Location on Census Night","2205, NSW","Total",4525
"Dwellings, Location on Census Night","2206, NSW","Occupied private dwellings",6448
"Dwellings, Location on Census Night","2206, NSW","Total",6448
"Dwellings, Location on Census Night","2207, NSW","Occupied private dwellings",9301
"Dwellings, Location on Census Night","2207, NSW","Total",9301
"Dwellings, Location on Census Night","2208, NSW","Occupied private dwellings",4070
"Dwellings, Location on Census Night","2208, NSW","Total",4070
"Dwellings, Location on Census Night","2209, NSW","Occupied private dwellings",5349
"Dwellings, Location on Census Night","2209, NSW","Total",5349
"Dwellings, Location on Census Night","2210, NSW","Occupied private dwellings",10278
"Dwellings, Location on Census Night","2210, NSW","Total",10278
"Dwellings, Location on Census Night","2211, NSW","Occupied private dwellings",5849
"Dwellings, Location on Census Night","2211, NSW","Total",5849
"Dwellings, Location on Census Night","2212, NSW","Occupied private dwellings",5014
"Dwellings, Location on Census Night","2212, NSW","Total",5014
"Dwellings, Location on Census Night","2213, NSW","Occupied private dwellings",7248
"Dwellings, Location on Census Night","2213, NSW","Total",7248
"Dwellings, Location on Census Night","2214, NSW","Occupied private dwellings",1285
"Dwellings, Location on Census Night","2214, NSW","Total",1285
"Dwellings, Location on Census Night","2216, NSW","Occupied private dwellings",10051
"Dwellings, Location on Census Night","2216, NSW","Total",10051
"Dwellings, Location on Census Night","2217, NSW","Occupied private dwellings",9192
"Dwellings, Location on Census Night","2217, NSW","Total",9192
"Dwellings, Location on Census Night","2218, NSW","Occupied private dwellings",5659
"Dwellings, Location on Census Night","2218, NSW","Total",5659
"Dwellings, Location on Census Night","2219, NSW","Occupied private dwellings",5210
"Dwellings, Location on Census Night","2219, NSW","Total",5210
