POA,Occupied private dwellings
"3981, Vic",1545
"3984, Vic",2056
"3987, Vic",459
"3988, Vic",335
"3991, Vic",165
"3992, Vic",257
"3995, Vic",3979
"3996, Vic",2297
"4000, Qld",6848
"4005, Qld",5682
"4006, Qld",7560
"4007, Qld",4574
"4008, Qld",129
"4009, Qld",0
"4010, Qld",961
"4011, Qld",6177
"4012, Qld",8618
"4013, Qld",1802
"4014, Qld",3950
"4017, Qld",13407
"4018, Qld",3724
"4019, Qld",8377
"4020, Qld",9057
"4021, Qld",3761
"4022, Qld",2320
"4025, Qld",59
"4030, Qld",6325
"4031, Qld",5329
"4032, Qld",6147
"4034, Qld",16308
"4035, Qld",7786
"4036, Qld",2458
"4037, Qld",2445
"4051, Qld",10170
"4053, Qld",16147
"4054, Qld",4943
"4055, Qld",6513
"4059, Qld",4692
"4060, Qld",4722
"4061, Qld",5542
"4064, Qld",4230
"4065, Qld",3338
"4066, Qld",6951
"4067, Qld",3792
"4068, Qld",8981
"4069, Qld",11071
"4070, Qld",3470
"4072, Qld",15
"4073, Qld",3066
"4074, Qld",8123
"4075, Qld",7762
"4076, Qld",1585
